time_idx,open_time
3585,2025-10-31 16:47:00+00:00
3586,2025-10-31 16:48:00+00:00
3587,2025-10-31 16:49:00+00:00
3588,2025-10-31 16:50:00+00:00
3589,2025-10-31 16:51:00+00:00
3590,2025-10-31 16:52:00+00:00
3591,2025-10-31 16:53:00+00:00
3592,2025-10-31 16:54:00+00:00
3593,2025-10-31 16:55:00+00:00
3594,2025-10-31 16:56:00+00:00
3595,2025-10-31 16:57:00+00:00
3596,2025-10-31 16:58:00+00:00
3597,2025-10-31 16:59:00+00:00
3598,2025-10-31 17:00:00+00:00
3599,2025-10-31 17:01:00+00:00
3600,2025-10-31 17:02:00+00:00
3601,2025-10-31 17:03:00+00:00
3602,2025-10-31 17:04:00+00:00
3603,2025-10-31 17:05:00+00:00
3604,2025-10-31 17:06:00+00:00
3605,2025-10-31 17:07:00+00:00
3606,2025-10-31 17:08:00+00:00
3607,2025-10-31 17:09:00+00:00
3608,2025-10-31 17:10:00+00:00
3609,2025-10-31 17:11:00+00:00
3610,2025-10-31 17:12:00+00:00
3611,2025-10-31 17:13:00+00:00
3612,2025-10-31 17:14:00+00:00
3613,2025-10-31 17:15:00+00:00
3614,2025-10-31 17:16:00+00:00
3615,2025-10-31 17:17:00+00:00
3616,2025-10-31 17:18:00+00:00
3617,2025-10-31 17:19:00+00:00
3618,2025-10-31 17:20:00+00:00
3619,2025-10-31 17:21:00+00:00
3620,2025-10-31 17:22:00+00:00
3621,2025-10-31 17:23:00+00:00
3622,2025-10-31 17:24:00+00:00
3623,2025-10-31 17:25:00+00:00
3624,2025-10-31 17:26:00+00:00
3625,2025-10-31 17:27:00+00:00
3626,2025-10-31 17:28:00+00:00
3627,2025-10-31 17:29:00+00:00
3628,2025-10-31 17:30:00+00:00
3629,2025-10-31 17:31:00+00:00
3630,2025-10-31 17:32:00+00:00
3631,2025-10-31 17:33:00+00:00
3632,2025-10-31 17:34:00+00:00
3633,2025-10-31 17:35:00+00:00
3634,2025-10-31 17:36:00+00:00
3635,2025-10-31 17:37:00+00:00
3636,2025-10-31 17:38:00+00:00
3637,2025-10-31 17:39:00+00:00
3638,2025-10-31 17:40:00+00:00
3639,2025-10-31 17:41:00+00:00
3640,2025-10-31 17:42:00+00:00
3641,2025-10-31 17:43:00+00:00
3642,2025-10-31 17:44:00+00:00
3643,2025-10-31 17:45:00+00:00
3644,2025-10-31 17:46:00+00:00
3645,2025-10-31 17:47:00+00:00
3646,2025-10-31 17:48:00+00:00
3647,2025-10-31 17:49:00+00:00
3648,2025-10-31 17:50:00+00:00
3649,2025-10-31 17:51:00+00:00
3650,2025-10-31 17:52:00+00:00
3651,2025-10-31 17:53:00+00:00
3652,2025-10-31 17:54:00+00:00
3653,2025-10-31 17:55:00+00:00
3654,2025-10-31 17:56:00+00:00
3655,2025-10-31 17:57:00+00:00
3656,2025-10-31 17:58:00+00:00
3657,2025-10-31 17:59:00+00:00
3658,2025-10-31 18:00:00+00:00
3659,2025-10-31 18:01:00+00:00
3660,2025-10-31 18:02:00+00:00
3661,2025-10-31 18:03:00+00:00
3662,2025-10-31 18:04:00+00:00
3663,2025-10-31 18:05:00+00:00
3664,2025-10-31 18:06:00+00:00
3665,2025-10-31 18:07:00+00:00
3666,2025-10-31 18:08:00+00:00
3667,2025-10-31 18:09:00+00:00
3668,2025-10-31 18:10:00+00:00
3669,2025-10-31 18:11:00+00:00
3670,2025-10-31 18:12:00+00:00
3671,2025-10-31 18:13:00+00:00
3672,2025-10-31 18:14:00+00:00
3673,2025-10-31 18:15:00+00:00
3674,2025-10-31 18:16:00+00:00
3675,2025-10-31 18:17:00+00:00
3676,2025-10-31 18:18:00+00:00
3677,2025-10-31 18:19:00+00:00
3678,2025-10-31 18:20:00+00:00
3679,2025-10-31 18:21:00+00:00
3680,2025-10-31 18:22:00+00:00
3681,2025-10-31 18:23:00+00:00
3682,2025-10-31 18:24:00+00:00
3683,2025-10-31 18:25:00+00:00
3684,2025-10-31 18:26:00+00:00
3685,2025-10-31 18:27:00+00:00
3686,2025-10-31 18:28:00+00:00
3687,2025-10-31 18:29:00+00:00
3688,2025-10-31 18:30:00+00:00
3689,2025-10-31 18:31:00+00:00
3690,2025-10-31 18:32:00+00:00
3691,2025-10-31 18:33:00+00:00
3692,2025-10-31 18:34:00+00:00
3693,2025-10-31 18:35:00+00:00
3694,2025-10-31 18:36:00+00:00
3695,2025-10-31 18:37:00+00:00
3696,2025-10-31 18:38:00+00:00
3697,2025-10-31 18:39:00+00:00
3698,2025-10-31 18:40:00+00:00
3699,2025-10-31 18:41:00+00:00
3700,2025-10-31 18:42:00+00:00
3701,2025-10-31 18:43:00+00:00
3702,2025-10-31 18:44:00+00:00
3703,2025-10-31 18:45:00+00:00
3704,2025-10-31 18:46:00+00:00
3705,2025-10-31 18:47:00+00:00
3706,2025-10-31 18:48:00+00:00
3707,2025-10-31 18:49:00+00:00
3708,2025-10-31 18:50:00+00:00
3709,2025-10-31 18:51:00+00:00
3710,2025-10-31 18:52:00+00:00
3711,2025-10-31 18:53:00+00:00
3712,2025-10-31 18:54:00+00:00
3713,2025-10-31 18:55:00+00:00
3714,2025-10-31 18:56:00+00:00
3715,2025-10-31 18:57:00+00:00
3716,2025-10-31 18:58:00+00:00
3717,2025-10-31 18:59:00+00:00
3718,2025-10-31 19:00:00+00:00
3719,2025-10-31 19:01:00+00:00
3720,2025-10-31 19:02:00+00:00
3721,2025-10-31 19:03:00+00:00
3722,2025-10-31 19:04:00+00:00
3723,2025-10-31 19:05:00+00:00
3724,2025-10-31 19:06:00+00:00
3725,2025-10-31 19:07:00+00:00
3726,2025-10-31 19:08:00+00:00
3727,2025-10-31 19:09:00+00:00
3728,2025-10-31 19:10:00+00:00
3729,2025-10-31 19:11:00+00:00
3730,2025-10-31 19:12:00+00:00
3731,2025-10-31 19:13:00+00:00
3732,2025-10-31 19:14:00+00:00
3733,2025-10-31 19:15:00+00:00
3734,2025-10-31 19:16:00+00:00
3735,2025-10-31 19:17:00+00:00
3736,2025-10-31 19:18:00+00:00
